"236","SIRI","3.940","22244478","162911","4/30/2015","2:19pm"
"237","GE","27.215","25342214","35341","4/30/2015","2:19pm"
"238","S","5.110","8945696","7751","4/30/2015","2:19pm"
"239","BAC","16.000","47601578","19356","4/30/2015","2:19pm"
"240","MSFT","49.150","41828442","100257","4/30/2015","2:19pm"
"241","AMZN","423.175","1987604","24996","4/30/2015","2:20pm"
"242","AAPL","125.650","56237962","100132","4/30/2015","2:20pm"
"243","FB","79.200","15190553","42239","4/30/2015","2:20pm"
"244","GOOG","538.830","1177595","6721","4/30/2015","2:20pm"
"245","YHOO","42.660","7151234","41438","4/30/2015","2:20pm"
"246","SIRI","3.930","22272683","28205","4/30/2015","2:20pm"
"247","GE","27.215","25387459","45245","4/30/2015","2:20pm"
"248","S","5.115","8965571","19875","4/30/2015","2:20pm"
"249","BAC","15.980","47994716","393138","4/30/2015","2:20pm"
"250","MSFT","49.140","41951840","123398","4/30/2015","2:20pm"
"251","AMZN","423.147","1991398","3794","4/30/2015","2:21pm"
"252","AAPL","125.520","56310267","72305","4/30/2015","2:21pm"
"253","FB","79.135","15234938","44385","4/30/2015","2:21pm"
"254","GOOG","538.960","1183438","5843","4/30/2015","2:21pm"
"255","YHOO","42.630","7199778","48544","4/30/2015","2:21pm"
"256","SIRI","3.930","22287921","15238","4/30/2015","2:21pm"
"257","GE","27.200","25464917","77458","4/30/2015","2:21pm"
"258","S","5.110","8981511","15940","4/30/2015","2:21pm"
"259","BAC","15.976","48154246","159530","4/30/2015","2:21pm"
"260","MSFT","49.085","42040897","89057","4/30/2015","2:21pm"
"261","AMZN","422.850","2005421","14023","4/30/2015","2:22pm"
"262","AAPL","125.520","56387322","77055","4/30/2015","2:22pm"
"263","FB","79.120","15282562","47624","4/30/2015","2:22pm"
"264","GOOG","539.000","1194466","11028","4/30/2015","2:22pm"
"265","YHOO","42.630","7265096","65318","4/30/2015","2:22pm"
"266","SIRI","3.940","22291621","3700","4/30/2015","2:22pm"
"267","GE","27.205","25586101","121184","4/30/2015","2:22pm"
"268","S","5.115","9000961","19450","4/30/2015","2:22pm"
"269","BAC","15.975","48511110","356864","4/30/2015","2:22pm"
