"453","FB","78.500","68.171","0.001"
"454","GOOG","537.352","466.576","0.138"
"455","YHOO","42.427","36.830","-0.041"
"456","SIRI","3.909","3.392","-0.004"
"457","GE","27.037","23.489","-0.056"
"458","S","5.079","4.409","-0.017"
"459","BAC","15.844","13.755","-0.020"
"460","MSFT","48.846","42.418","-0.027"
"461","AMZN","420.225","364.915","-0.674"
"462","AAPL","124.994","108.549","-0.086"
"463","FB","78.537","68.217","0.011"
"464","GOOG","537.376","466.594","0.209"
"465","YHOO","42.415","36.820","-0.043"
"466","SIRI","3.907","3.391","-0.004"
"467","GE","27.054","23.505","-0.054"
"468","S","5.079","4.410","-0.016"
"469","BAC","15.844","13.758","-0.022"
"470","MSFT","48.853","42.427","-0.030"
"471","AMZN","420.196","364.895","-0.768"
"472","AAPL","124.985","108.551","-0.112"
"473","FB","78.541","68.214","0.000"
"474","GOOG","537.320","466.536","0.184"
"475","YHOO","42.399","36.807","-0.041"
"476","SIRI","3.904","3.390","-0.005"
"477","GE","27.059","23.501","-0.050"
"478","S","5.079","4.410","-0.015"
"479","BAC","15.844","13.761","-0.025"
"480","MSFT","48.858","42.431","-0.036"
"481","AMZN","420.224","364.842","-0.869"
"482","AAPL","125.024","108.581","-0.124"
"483","FB","78.564","68.222","-0.014"
"484","GOOG","537.298","466.505","0.117"
"485","YHOO","42.389","36.799","-0.039"
"486","SIRI","3.905","3.392","-0.004"
"487","GE","27.069","23.501","-0.047"
"488","S","5.079","4.411","-0.015"
"489","BAC","15.848","13.764","-0.028"
"490","MSFT","48.871","42.437","-0.042"
"491","AMZN","420.128","364.719","-0.920"
"492","AAPL","125.016","108.544","-0.134"
"493","FB","78.559","68.206","-0.019"
"494","GOOG","537.200","466.413","0.068"
"495","YHOO","42.372","36.784","-0.042"
"496","SIRI","3.906","3.392","-0.004"
"497","GE","27.066","23.495","-0.042"
"498","S","5.078","4.409","-0.013"
"499","BAC","15.849","13.762","-0.031"
"500","MSFT","48.857","42.413","-0.046"
"501","AMZN","419.996","364.559","-0.998"
"502","AAPL","125.003","108.502","-0.144"
"503","FB","78.544","68.172","-0.015"
"504","GOOG","537.082","466.234","-0.005"
"505","YHOO","42.362","36.775","-0.044"
"506","SIRI","3.906","3.392","-0.003"
"507","GE","27.056","23.485","-0.036"
"508","S","5.077","4.407","-0.009"
"509","BAC","15.848","13.758","-0.032"
"510","MSFT","48.845","42.397","-0.047"
"511","AMZN","419.856","364.468","-1.041"
"512","AAPL","124.950","108.457","-0.147"
"513","FB","78.502","68.139","-0.016"
